case,endpoint,iteration,http_status,expected_status,latency_ms,passed,errors
health,GET /api/health,0,200,200,3.613,True,
architecture,GET /api/architecture,0,200,200,18.616,True,
solve-valid,POST /api/solve,0,200,200,64.476,True,
solve-unsolvable,POST /api/solve,0,200,200,7.276,True,
solve-malformed,POST /api/solve,0,400,400,2.349,True,
solve-invalid,POST /api/solve,0,422,422,2.54,True,
import-light,POST /api/import,0,200,200,110.592,True,
import-dark,POST /api/import,0,200,200,81.106,True,
import-corrupt,POST /api/import,0,400,400,3.143,True,
health,GET /api/health,1,200,200,2.455,True,
architecture,GET /api/architecture,1,200,200,13.381,True,
solve-valid,POST /api/solve,1,200,200,52.145,True,
solve-unsolvable,POST /api/solve,1,200,200,7.635,True,
solve-malformed,POST /api/solve,1,400,400,1.753,True,
solve-invalid,POST /api/solve,1,422,422,2.152,True,
import-light,POST /api/import,1,200,200,101.602,True,
import-dark,POST /api/import,1,200,200,90.671,True,
import-corrupt,POST /api/import,1,400,400,4.685,True,
health,GET /api/health,2,200,200,2.752,True,
architecture,GET /api/architecture,2,200,200,12.109,True,
solve-valid,POST /api/solve,2,200,200,52.889,True,
solve-unsolvable,POST /api/solve,2,200,200,7.566,True,
solve-malformed,POST /api/solve,2,400,400,1.894,True,
solve-invalid,POST /api/solve,2,422,422,2.449,True,
import-light,POST /api/import,2,200,200,116.738,True,
import-dark,POST /api/import,2,200,200,85.365,True,
import-corrupt,POST /api/import,2,400,400,2.839,True,
health,GET /api/health,3,200,200,2.295,True,
architecture,GET /api/architecture,3,200,200,15.493,True,
solve-valid,POST /api/solve,3,200,200,45.492,True,
solve-unsolvable,POST /api/solve,3,200,200,6.204,True,
solve-malformed,POST /api/solve,3,400,400,2.155,True,
solve-invalid,POST /api/solve,3,422,422,3.176,True,
import-light,POST /api/import,3,200,200,94.043,True,
import-dark,POST /api/import,3,200,200,79.868,True,
import-corrupt,POST /api/import,3,400,400,2.951,True,
health,GET /api/health,4,200,200,3.063,True,
architecture,GET /api/architecture,4,200,200,22.388,True,
solve-valid,POST /api/solve,4,200,200,82.503,True,
solve-unsolvable,POST /api/solve,4,200,200,6.738,True,
solve-malformed,POST /api/solve,4,400,400,2.319,True,
solve-invalid,POST /api/solve,4,422,422,3.269,True,
import-light,POST /api/import,4,200,200,106.176,True,
import-dark,POST /api/import,4,200,200,89.186,True,
import-corrupt,POST /api/import,4,400,400,2.937,True,
health,GET /api/health,5,200,200,2.164,True,
architecture,GET /api/architecture,5,200,200,14.784,True,
solve-valid,POST /api/solve,5,200,200,48.586,True,
solve-unsolvable,POST /api/solve,5,200,200,6.294,True,
solve-malformed,POST /api/solve,5,400,400,2.358,True,
solve-invalid,POST /api/solve,5,422,422,2.212,True,
import-light,POST /api/import,5,200,200,118.431,True,
import-dark,POST /api/import,5,200,200,84.835,True,
import-corrupt,POST /api/import,5,400,400,3.567,True,
health,GET /api/health,6,200,200,3.156,True,
architecture,GET /api/architecture,6,200,200,12.843,True,
solve-valid,POST /api/solve,6,200,200,54.408,True,
solve-unsolvable,POST /api/solve,6,200,200,6.834,True,
solve-malformed,POST /api/solve,6,400,400,2.242,True,
solve-invalid,POST /api/solve,6,422,422,3.071,True,
import-light,POST /api/import,6,200,200,115.721,True,
import-dark,POST /api/import,6,200,200,88.425,True,
import-corrupt,POST /api/import,6,400,400,4.809,True,
health,GET /api/health,7,200,200,3.084,True,
architecture,GET /api/architecture,7,200,200,18.648,True,
solve-valid,POST /api/solve,7,200,200,66.314,True,
solve-unsolvable,POST /api/solve,7,200,200,9.097,True,
solve-malformed,POST /api/solve,7,400,400,2.495,True,
solve-invalid,POST /api/solve,7,422,422,2.074,True,
import-light,POST /api/import,7,200,200,117.501,True,
import-dark,POST /api/import,7,200,200,83.381,True,
import-corrupt,POST /api/import,7,400,400,2.624,True,
health,GET /api/health,8,200,200,2.448,True,
architecture,GET /api/architecture,8,200,200,12.744,True,
solve-valid,POST /api/solve,8,200,200,48.652,True,
solve-unsolvable,POST /api/solve,8,200,200,7.141,True,
solve-malformed,POST /api/solve,8,400,400,1.988,True,
solve-invalid,POST /api/solve,8,422,422,1.778,True,
import-light,POST /api/import,8,200,200,110.751,True,
import-dark,POST /api/import,8,200,200,80.742,True,
import-corrupt,POST /api/import,8,400,400,3.55,True,
health,GET /api/health,9,200,200,3.645,True,
architecture,GET /api/architecture,9,200,200,13.171,True,
solve-valid,POST /api/solve,9,200,200,95.555,True,
solve-unsolvable,POST /api/solve,9,200,200,23.38,True,
solve-malformed,POST /api/solve,9,400,400,2.593,True,
solve-invalid,POST /api/solve,9,422,422,2.838,True,
import-light,POST /api/import,9,200,200,125.8,True,
import-dark,POST /api/import,9,200,200,83.128,True,
import-corrupt,POST /api/import,9,400,400,2.332,True,
health,GET /api/health,10,200,200,3.325,True,
architecture,GET /api/architecture,10,200,200,16.258,True,
solve-valid,POST /api/solve,10,200,200,61.277,True,
solve-unsolvable,POST /api/solve,10,200,200,5.89,True,
solve-malformed,POST /api/solve,10,400,400,1.74,True,
solve-invalid,POST /api/solve,10,422,422,2.456,True,
import-light,POST /api/import,10,200,200,115.733,True,
import-dark,POST /api/import,10,200,200,76.605,True,
import-corrupt,POST /api/import,10,400,400,2.517,True,
health,GET /api/health,11,200,200,1.937,True,
architecture,GET /api/architecture,11,200,200,14.214,True,
solve-valid,POST /api/solve,11,200,200,58.612,True,
solve-unsolvable,POST /api/solve,11,200,200,11.015,True,
solve-malformed,POST /api/solve,11,400,400,3.611,True,
solve-invalid,POST /api/solve,11,422,422,3.26,True,
import-light,POST /api/import,11,200,200,125.431,True,
import-dark,POST /api/import,11,200,200,88.662,True,
import-corrupt,POST /api/import,11,400,400,3.216,True,
health,GET /api/health,12,200,200,2.36,True,
architecture,GET /api/architecture,12,200,200,15.844,True,
solve-valid,POST /api/solve,12,200,200,69.199,True,
solve-unsolvable,POST /api/solve,12,200,200,7.238,True,
solve-malformed,POST /api/solve,12,400,400,2.633,True,
solve-invalid,POST /api/solve,12,422,422,3.096,True,
import-light,POST /api/import,12,200,200,152.15,True,
import-dark,POST /api/import,12,200,200,107.314,True,
import-corrupt,POST /api/import,12,400,400,5.763,True,
health,GET /api/health,13,200,200,4.118,True,
architecture,GET /api/architecture,13,200,200,23.894,True,
solve-valid,POST /api/solve,13,200,200,63.571,True,
solve-unsolvable,POST /api/solve,13,200,200,6.094,True,
solve-malformed,POST /api/solve,13,400,400,3.207,True,
solve-invalid,POST /api/solve,13,422,422,3.7,True,
import-light,POST /api/import,13,200,200,116.611,True,
import-dark,POST /api/import,13,200,200,88.045,True,
import-corrupt,POST /api/import,13,400,400,2.339,True,
health,GET /api/health,14,200,200,2.16,True,
architecture,GET /api/architecture,14,200,200,13.679,True,
solve-valid,POST /api/solve,14,200,200,58.063,True,
solve-unsolvable,POST /api/solve,14,200,200,6.157,True,
solve-malformed,POST /api/solve,14,400,400,1.945,True,
solve-invalid,POST /api/solve,14,422,422,2.712,True,
import-light,POST /api/import,14,200,200,98.529,True,
import-dark,POST /api/import,14,200,200,96.346,True,
import-corrupt,POST /api/import,14,400,400,2.853,True,
health,GET /api/health,15,200,200,2.857,True,
architecture,GET /api/architecture,15,200,200,17.828,True,
