case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
6x6-light,light,6,success,200,True,False,True,True,81.659,168.828
6x6-light--scale-75,light,6,success,200,True,False,True,True,53.921,81.699
6x6-light--scale-125,light,6,success,200,True,False,True,True,123.018,159.738
6x6-light--jpeg-q65,light,6,success,200,True,False,True,True,87.031,96.244
6x6-light--blur-0.8,light,6,success,200,True,False,True,True,73.707,99.913
6x6-light--pad-40,light,6,success,200,True,False,True,True,87.26,91.897
6x6-light--crop-12,light,6,success,200,True,False,True,True,67.398,82.961
6x6-dark,dark,6,success,200,True,False,True,True,55.882,68.611
6x6-dark--scale-75,dark,6,success,200,True,False,True,True,39.151,41.443
6x6-dark--scale-125,dark,6,success,200,True,False,True,True,80.697,94.229
6x6-dark--jpeg-q65,dark,6,success,200,True,False,True,True,75.172,99.341
6x6-dark--blur-0.8,dark,6,success,200,True,False,True,True,69.458,139.111
6x6-dark--pad-40,dark,6,success,200,True,False,True,True,94.551,127.389
6x6-dark--crop-12,dark,6,success,200,True,False,True,True,56.375,66.368
8x8-light,light,8,success,200,True,False,True,True,164.564,215.882
8x8-light--scale-75,light,8,success,200,False,False,False,True,85.295,100.982
8x8-light--scale-125,light,8,success,200,True,False,True,True,160.706,242.198
8x8-light--jpeg-q65,light,8,success,200,False,False,False,True,115.944,145.8
8x8-light--blur-0.8,light,8,success,200,True,False,True,True,102.746,119.812
8x8-light--pad-40,light,8,success,200,True,False,True,True,138.894,210.207
8x8-light--crop-12,light,8,success,200,True,False,True,True,214.324,444.793
8x8-dark,dark,8,success,200,True,False,True,True,151.928,188.596
8x8-dark--scale-75,dark,8,success,200,False,False,False,True,86.293,108.896
8x8-dark--scale-125,dark,8,success,200,True,False,True,True,200.009,235.099
8x8-dark--jpeg-q65,dark,8,success,200,False,False,False,True,111.822,152.987
8x8-dark--blur-0.8,dark,8,success,200,False,False,False,True,106.42,131.421
8x8-dark--pad-40,dark,8,success,200,True,False,True,True,130.429,156.41
8x8-dark--crop-12,dark,8,success,200,True,False,True,True,104.218,115.43
blank-light,light,6,error,422,False,True,False,True,40.234,45.379
blank-dark,dark,6,error,422,False,True,False,True,39.977,46.397
