case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
6x6-light,light,6,success,200,True,False,True,True,268.125,268.125
6x6-light--scale-75,light,6,success,200,True,False,True,True,58.124,58.124
6x6-light--scale-125,light,6,success,200,True,False,True,True,138.343,138.343
6x6-light--jpeg-q65,light,6,success,200,True,False,True,True,100.939,100.939
6x6-light--blur-0.8,light,6,success,200,True,False,True,True,79.544,79.544
6x6-light--pad-40,light,6,success,200,True,False,True,True,123.433,123.433
6x6-light--crop-12,light,6,success,200,True,False,True,True,74.306,74.306
6x6-dark,dark,6,success,200,True,False,True,True,62.049,62.049
6x6-dark--scale-75,dark,6,success,200,True,False,True,True,44.372,44.372
6x6-dark--scale-125,dark,6,success,200,True,False,True,True,98.216,98.216
6x6-dark--jpeg-q65,dark,6,success,200,True,False,True,True,81.777,81.777
6x6-dark--blur-0.8,dark,6,success,200,True,False,True,True,65.779,65.779
6x6-dark--pad-40,dark,6,success,200,True,False,True,True,99.48,99.48
6x6-dark--crop-12,dark,6,success,200,True,False,True,True,55.544,55.544
8x8-light,light,8,success,200,True,False,True,True,115.017,115.017
8x8-light--scale-75,light,8,success,200,True,False,True,True,98.303,98.303
8x8-light--scale-125,light,8,success,200,True,False,True,True,158.399,158.399
8x8-light--jpeg-q65,light,8,success,200,True,False,True,True,130.58,130.58
8x8-light--blur-0.8,light,8,success,200,True,False,True,True,123.195,123.195
8x8-light--pad-40,light,8,success,200,True,False,True,True,135.296,135.296
8x8-light--crop-12,light,8,success,200,True,False,True,True,114.545,114.545
8x8-dark,dark,8,success,200,True,False,True,True,125.672,125.672
8x8-dark--scale-75,dark,8,success,200,True,False,True,True,94.766,94.766
8x8-dark--scale-125,dark,8,success,200,True,False,True,True,183.009,183.009
8x8-dark--jpeg-q65,dark,8,success,200,True,False,True,True,118.729,118.729
8x8-dark--blur-0.8,dark,8,success,200,True,False,True,True,127.545,127.545
8x8-dark--pad-40,dark,8,success,200,True,False,True,True,135.878,135.878
8x8-dark--crop-12,dark,8,success,200,True,False,True,True,120.041,120.041
app-191913,dark,6,success,200,True,False,True,True,355.994,355.994
app-191913--scale-75,dark,6,success,200,True,False,True,True,186.058,186.058
app-191913--scale-125,dark,6,success,200,True,False,True,True,507.702,507.702
app-191913--jpeg-q65,dark,6,success,200,True,False,True,True,345.863,345.863
app-191913--blur-0.8,dark,6,success,200,True,False,True,True,309.307,309.307
app-191913--pad-40,dark,6,success,200,True,False,True,True,383.894,383.894
app-191913--crop-12,dark,6,success,200,True,False,True,True,323.934,323.934
app-191932,light,6,success,200,True,False,True,True,262.41,262.41
app-191932--scale-75,light,6,success,200,True,False,True,True,153.462,153.462
app-191932--scale-125,light,6,success,200,True,False,True,True,356.494,356.494
app-191932--jpeg-q65,light,6,success,200,True,False,True,True,285.619,285.619
app-191932--blur-0.8,light,6,success,200,True,False,True,True,229.586,229.586
app-191932--pad-40,light,6,success,200,True,False,True,True,266.688,266.688
app-191932--crop-12,light,6,success,200,True,False,True,True,217.739,217.739
app-191920,dark,7,success,200,True,False,True,True,318.233,318.233
app-191920--scale-75,dark,7,success,200,True,False,True,True,176.939,176.939
app-191920--scale-125,dark,7,success,200,True,False,True,True,473.507,473.507
app-191920--jpeg-q65,dark,7,success,200,True,False,True,True,325.924,325.924
app-191920--blur-0.8,dark,7,success,200,True,False,True,True,292.545,292.545
app-191920--pad-40,dark,7,success,200,True,False,True,True,399.642,399.642
app-191920--crop-12,dark,7,success,200,True,False,True,True,301.019,301.019
app-191940,light,7,success,200,True,False,True,True,247.976,247.976
app-191940--scale-75,light,7,success,200,True,False,True,True,134.133,134.133
app-191940--scale-125,light,7,success,200,True,False,True,True,346.862,346.862
app-191940--jpeg-q65,light,7,success,200,True,False,True,True,288.936,288.936
app-191940--blur-0.8,light,7,success,200,True,False,True,True,243.481,243.481
app-191940--pad-40,light,7,success,200,True,False,True,True,302.855,302.855
app-191940--crop-12,light,7,success,200,True,False,True,True,241.558,241.558
app-191951,light,8,success,200,True,False,True,True,246.969,246.969
app-191951--scale-75,light,8,success,200,True,False,True,True,151.225,151.225
app-191951--scale-125,light,8,success,200,True,False,True,True,358.779,358.779
app-191951--jpeg-q65,light,8,success,200,True,False,True,True,371.729,371.729
app-191951--blur-0.8,light,8,success,200,True,False,True,True,253.987,253.987
app-191951--pad-40,light,8,success,200,True,False,True,True,320.346,320.346
app-191951--crop-12,light,8,success,200,True,False,True,True,223.373,223.373
app-191959,dark,8,success,200,True,False,True,True,384.185,384.185
app-191959--scale-75,dark,8,success,200,True,False,True,True,181.26,181.26
app-191959--scale-125,dark,8,success,200,True,False,True,True,579.221,579.221
app-191959--jpeg-q65,dark,8,success,200,True,False,True,True,370.202,370.202
app-191959--blur-0.8,dark,8,success,200,True,False,True,True,389.291,389.291
app-191959--pad-40,dark,8,success,200,True,False,True,True,460.175,460.175
app-191959--crop-12,dark,8,success,200,True,False,True,True,343.004,343.004
app-192013,dark,6,success,200,True,False,True,True,356.609,356.609
app-192013--scale-75,dark,6,success,200,True,False,True,True,145.782,145.782
app-192013--scale-125,dark,6,success,200,True,False,True,True,419.824,419.824
app-192013--jpeg-q65,dark,6,success,200,True,False,True,True,397.359,397.359
app-192013--blur-0.8,dark,6,success,200,True,False,True,True,341.428,341.428
app-192013--pad-40,dark,6,success,200,True,False,True,True,325.027,325.027
app-192013--crop-12,dark,6,success,200,True,False,True,True,308.778,308.778
app-192018,light,6,success,200,True,False,True,True,238.407,238.407
app-192018--scale-75,light,6,success,200,True,False,True,True,145.005,145.005
app-192018--scale-125,light,6,success,200,True,False,True,True,384.846,384.846
app-192018--jpeg-q65,light,6,success,200,True,False,True,True,315.676,315.676
app-192018--blur-0.8,light,6,success,200,True,False,True,True,255.282,255.282
app-192018--pad-40,light,6,success,200,True,False,True,True,285.087,285.087
app-192018--crop-12,light,6,success,200,True,False,True,True,263.64,263.64
app-192102,light,6,success,200,True,False,True,True,306.732,306.732
app-192102--scale-75,light,6,success,200,True,False,True,True,128.88,128.88
app-192102--scale-125,light,6,success,200,True,False,True,True,457.305,457.305
app-192102--jpeg-q65,light,6,success,200,True,False,True,True,275.142,275.142
app-192102--blur-0.8,light,6,success,200,True,False,True,True,253.775,253.775
app-192102--pad-40,light,6,success,200,True,False,True,True,312.575,312.575
app-192102--crop-12,light,6,success,200,True,False,True,True,277.204,277.204
app-192108,dark,6,success,200,True,False,True,True,365.222,365.222
app-192108--scale-75,dark,6,success,200,True,False,True,True,175.021,175.021
app-192108--scale-125,dark,6,success,200,True,False,True,True,523.998,523.998
app-192108--jpeg-q65,dark,6,success,200,True,False,True,True,383.583,383.583
app-192108--blur-0.8,dark,6,success,200,True,False,True,True,379.019,379.019
app-192108--pad-40,dark,6,success,200,True,False,True,True,403.55,403.55
app-192108--crop-12,dark,6,success,200,True,False,True,True,335.427,335.427
app-192159,dark,7,success,200,True,False,True,True,199.055,199.055
app-192159--scale-75,dark,7,success,200,True,False,True,True,116.105,116.105
app-192159--scale-125,dark,7,success,200,True,False,True,True,335.733,335.733
