case,theme,board_size,expected_outcome,http_status,exact_board,expected_error_matched,warning_free,response_stable,median_ms,p95_ms
6x6-light,light,6,success,200,True,False,True,True,72.83,92.36
6x6-light--scale-75,light,6,success,200,True,False,True,True,42.722,44.974
6x6-light--scale-125,light,6,success,200,True,False,True,True,100.248,106.263
6x6-light--jpeg-q65,light,6,success,200,True,False,True,True,79.3,85.549
6x6-light--blur-0.8,light,6,success,200,True,False,True,True,71.217,76.281
6x6-light--pad-40,light,6,success,200,True,False,True,True,85.924,87.177
6x6-light--crop-12,light,6,success,200,True,False,True,True,66.036,69.921
6x6-dark,dark,6,success,200,True,False,True,True,55.084,58.01
6x6-dark--scale-75,dark,6,success,200,True,False,True,True,40.119,42.294
6x6-dark--scale-125,dark,6,success,200,True,False,True,True,77.971,79.972
6x6-dark--jpeg-q65,dark,6,success,200,True,False,True,True,71.078,72.514
6x6-dark--blur-0.8,dark,6,success,200,True,False,True,True,56.867,59.97
6x6-dark--pad-40,dark,6,success,200,True,False,True,True,76.703,79.074
6x6-dark--crop-12,dark,6,success,200,True,False,True,True,52.732,53.765
8x8-light,light,8,success,200,True,False,True,True,107.123,111.078
8x8-light--scale-75,light,8,success,200,True,False,True,True,83.1,86.277
8x8-light--scale-125,light,8,success,200,True,False,True,True,144.727,147.549
8x8-light--jpeg-q65,light,8,success,200,True,False,True,True,107.813,113.668
8x8-light--blur-0.8,light,8,success,200,True,False,True,True,101.256,104.479
8x8-light--pad-40,light,8,success,200,True,False,True,True,115.895,117.633
8x8-light--crop-12,light,8,success,200,True,False,True,True,101.576,103.561
8x8-dark,dark,8,success,200,True,False,True,True,109.85,114.476
8x8-dark--scale-75,dark,8,success,200,True,False,True,True,85.9,92.372
8x8-dark--scale-125,dark,8,success,200,True,False,True,True,159.849,163.698
8x8-dark--jpeg-q65,dark,8,success,200,True,False,True,True,112.078,118.985
8x8-dark--blur-0.8,dark,8,success,200,True,False,True,True,119.404,154.994
8x8-dark--pad-40,dark,8,success,200,True,False,True,True,174.228,188.149
8x8-dark--crop-12,dark,8,success,200,True,False,True,True,104.825,115.748
app-191913,dark,6,success,200,True,False,True,True,327.105,570.817
app-191913--scale-75,dark,6,success,200,True,False,True,True,200.993,313.307
